"ProfileId";"ProfileGroupId";"ProfileNumber";"ProfileYear";"ProfileRepeat";"ProfileX";"ProfileY";"ProfileDate";"TeacherId";"MesoreliefId";"MicroreliefId";"GeochemicalPositionId";"SoilWaterDepthId";"SoilSubTypeId";"ParentMaterialId";"VegetationTypeId";"IsBaseProfile";"ProfileOldCode"
1;1;1;2005;2;34477;55542;20.7.2011 0:00:00;32;12;3;7;8;31;15;11;0;11052
2;1;1;2006;2;32956;53653;;32;4;3;8;8;30;12;11;0;11062
3;1;1;2008;1;36506;52608;29.6.2008 0:00:00;26;2;3;2;1;5;4;7;0;11081
4;1;1;2008;2;33141;53738;14.7.2008 0:00:00;12;14;4;8;8;30;12;10;0;11082
5;1;1;1989;2;32907;54138;15.7.1989 0:00:00;13;4;2;3;8;19;6;7;0;11892
6;1;1;1990;1;32922;53542;30.6.1990 0:00:00;11;14;2;8;8;30;12;10;0;11901
7;1;1;1990;2;32910;53554;14.7.1990 0:00:00;18;14;2;8;8;28;12;10;0;11902
8;1;1;1991;2;32604;54907;14.7.1991 0:00:00;6;4;3;7;4;24;8;12;0;11912
9;1;1;1992;2;32988;53558;14.7.1992 0:00:00;7;13;3;8;8;25;12;10;0;11922
10;1;1;1993;1;32833;53543;30.6.1993 0:00:00;18;14;2;8;8;30;12;10;0;11931
11;1;1;1993;2;32976;53554;14.7.1993 0:00:00;3;13;2;8;8;30;12;10;0;11932
12;1;1;1994;1;;;4.7.1994 0:00:00;12;13;4;8;8;30;12;10;0;11941
13;1;1;1994;2;;;17.7.1994 0:00:00;23;13;2;8;8;30;12;10;0;11942
14;1;1;1997;1;;;6.7.1997 0:00:00;12;15;2;1;3;20;15;5;0;11971
15;1;1;1998;1;;;5.7.1998 0:00:00;13;14;2;9;8;30;12;10;0;11981
16;1;1;1998;2;;;18.7.1998 0:00:00;8;2;2;2;8;8;5;5;0;11982
17;2;1;2001;1;;;30.6.2001 0:00:00;5;14;4;9;8;30;12;10;0;12011
18;2;1;2002;1;;;30.6.2002 0:00:00;16;13;4;9;8;30;12;10;0;12021
19;2;1;2003;2;35503;54346;14.7.2003 0:00:00;15;13;5;7;8;30;12;10;0;12032
20;2;1;2005;2;33247;53740;8.9.2005 0:00:00;17;12;3;7;5;30;12;11;0;12052
21;2;1;2006;1;33426;55566;30.6.2006 0:00:00;23;15;2;7;8;31;12;5;0;12061
22;2;1;2007;1;33220;53790;7.2.2007 0:00:00;5;14;2;7;1;30;12;10;0;12071
23;2;1;2008;2;33228;53746;14.7.2008 0:00:00;16;12;1;8;3;31;12;11;0;12082
24;2;1;1989;1;33223;55759;1.7.1989 0:00:00;12;4;2;3;8;6;4;7;0;12891
25;2;1;1989;2;33139;53959;15.7.1989 0:00:00;5;4;2;3;8;13;14;7;1;12892
26;2;1;1990;1;33198;53650;30.6.1990 0:00:00;17;13;3;8;5;30;12;10;0;12901
27;2;1;1990;2;33249;53651;14.7.1990 0:00:00;17;13;2;8;4;30;12;10;0;12902
28;2;1;1991;1;33182;53657;30.6.1991 0:00:00;18;12;2;8;8;30;12;11;0;12911
29;2;1;1991;2;33504;53762;14.7.1991 0:00:00;7;14;2;8;8;30;12;10;0;12912
30;2;1;1992;2;33247;53656;14.7.1992 0:00:00;3;13;2;8;8;30;12;10;0;12922
31;2;1;1993;2;33218;53651;14.7.1993 0:00:00;3;13;2;8;8;28;12;10;0;12932
32;2;1;1994;1;;;4.7.1994 0:00:00;17;12;4;8;8;27;12;11;0;12941
33;2;1;1994;2;;;17.7.1994 0:00:00;8;12;4;8;8;27;12;10;0;12942
34;2;1;1997;1;;;30.6.1997 0:00:00;17;3;2;3;8;39;9;4;0;12971
